elemento_codigo,elemento_descricao,categoria_macro
00,"A Classificar / Sem Elemento","Outros"
01,"Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares","Pessoal e Encargos"
02,"Pensões Militares","Pessoal e Encargos"
03,"Pensões do RPPS e do Militar","Pessoal e Encargos"
04,"Contratação por Tempo Determinado","Pessoal e Encargos"
05,"Outros Benefícios Previdenciários do Servidor ou do Militar","Pessoal e Encargos"
06,"Benefício Mensal ao Deficiente e ao Idoso","Transferências"
07,"Contribuição a Entidades Fechadas de Previdência","Pessoal e Encargos"
08,"Outros Benefícios Assistenciais do Servidor e do Militar","Pessoal e Encargos"
09,"Salário-Família","Pessoal e Encargos"
10,"Outros Benefícios de Natureza Social","Transferências"
11,"Vencimentos e Vantagens Fixas - Pessoal Civil","Pessoal e Encargos"
12,"Vencimentos e Vantagens Fixas - Pessoal Militar","Pessoal e Encargos"
13,"Contribuições Patronais","Pessoal e Encargos"
14,"Diárias - Civil","Diárias"
15,"Diárias - Militar","Diárias"
16,"Outras Despesas Variáveis - Pessoal Civil","Pessoal e Encargos"
17,"Outras Despesas Variáveis - Pessoal Militar","Pessoal e Encargos"
18,"Auxílio-Financeiro a Estudantes","Transferências"
19,"Auxílio-Fardamento","Pessoal e Encargos"
20,"Auxílio-Financeiro a Pesquisadores","Transferências"
21,"Juros sobre a Dívida por Contrato","Outras Despesas Correntes"
22,"Outros Encargos sobre a Dívida por Contrato","Outras Despesas Correntes"
23,"Juros, Deságios e Descontos da Dívida Mobiliária","Outras Despesas Correntes"
24,"Outros Encargos sobre a Dívida Mobiliária","Outras Despesas Correntes"
25,"Encargos sobre Operações de Crédito por Antecipação da Receita","Outras Despesas Correntes"
26,"Arrendamento Mercantil","Outras Despesas Correntes"
27,"Encargos pela Honra de Avais, Garantias, Fianças e Referendos","Outras Despesas Correntes"
28,"Remuneração de Cotas de Fundos Autárquicos","Outras Despesas Correntes"
29,"Distribuição de Resultado de Empresas Estatais Dependentes","Outras Despesas Correntes"
30,"Material de Consumo","Material"
31,"Premiações Culturais, Artísticas, Científicas, Desportivas e Outras","Material"
32,"Material, Bem ou Serviço para Distribuição Gratuita","Material"
33,"Passagens e Despesas com Locomoção","Material"
34,"Outras Despesas de Pessoal decorrentes de Contratos de Terceirização","Pessoal e Encargos"
35,"Serviços de Consultoria","Serviços de Terceiros"
36,"Outros Serviços de Terceiros - Pessoa Física","Serviços de Terceiros"
37,"Locação de Mão-de-Obra","Serviços de Terceiros"
38,"Arrendamento Mercantil","Serviços de Terceiros"
39,"Outros Serviços de Terceiros - Pessoa Jurídica","Serviços de Terceiros"
40,"Serviços de Tecnologia da Informação e Comunicação - PJ","Serviços de Terceiros"
41,"Contribuições","Transferências"
42,"Auxílios","Transferências"
43,"Subvenções Sociais","Transferências"
44,"Obras e Instalações","Investimentos"
45,"Subvenções Econômicas","Transferências"
46,"Auxílio-Alimentação","Transferências"
47,"Obrigações Tributárias e Contributivas","Outras Despesas Correntes"
48,"Outros Auxílios Financeiros a Pessoas Físicas","Transferências"
49,"Auxílio-Transporte","Transferências"
50,"Sede de Direitos Orçamentários","Outras Despesas Correntes"
51,"Obras e Instalações","Investimentos"
52,"Equipamentos e Material Permanente","Investimentos"
53,"Elemento Reservado 53","Outros"
54,"Elemento Reservado 54","Outros"
55,"Elemento Reservado 55","Outros"
56,"Elemento Reservado 56","Outros"
57,"Elemento Reservado 57","Outros"
58,"Elemento Reservado 58","Outros"
59,"Elemento Reservado 59","Outros"
60,"Elemento Reservado 60","Outros"
61,"Aquisição de Imóveis","Investimentos"
62,"Aquisição de Bens para Revenda","Investimentos"
63,"Aquisição de Títulos de Crédito","Investimentos"
64,"Aquisição de Títulos Representativos de Capital já Constituído","Investimentos"
65,"Constituição ou Aumento de Capital de Empresas","Investimentos"
66,"Concessão de Empréstimos e Financiamentos","Investimentos"
67,"Depósitos Compulsórios","Investimentos"
68,"Elemento Reservado 68","Outros"
69,"Elemento Reservado 69","Outros"
70,"Rateio pela Participação em Consórcio Público","Transferências"
71,"Principal da Dívida Contratual Resgatado","Amortização da Dívida"
72,"Principal da Dívida Mobiliária Resgatado","Amortização da Dívida"
73,"Correção Monetária ou Câmbio da Dívida Contratual Resgatada","Amortização da Dívida"
74,"Correção Monetária ou Câmbio da Dívida Mobiliária Resgatada","Amortização da Dívida"
75,"Amortização da Dívida de Operações de Crédito por ARO","Amortização da Dívida"
76,"Principal Operações de Crédito por Antecipação da Receita","Amortização da Dívida"
77,"Atuação em Outros Encargos de Amortização","Amortização da Dívida"
78,"Elemento Reservado 78","Outros"
79,"Elemento Reservado 79","Outros"
80,"Elemento Reservado 80","Outros"
81,"Correção Monetária de Outras Dívidas","Outras Despesas Correntes"
82,"Elemento Reservado 82","Outros"
83,"Elemento Reservado 83","Outros"
84,"Elemento Reservado 84","Outros"
85,"Elemento Reservado 85","Outros"
86,"Elemento Reservado 86","Outros"
87,"Elemento Reservado 87","Outros"
88,"Elemento Reservado 88","Outros"
89,"Elemento Reservado 89","Outros"
90,"Elemento Reservado 90","Outros"
91,"Sentenças Judiciais","Sentenças"
92,"Despesas de Exercícios Anteriores","Outras Despesas Correntes"
93,"Indenizações e Restituições","Outras Despesas Correntes"
94,"Indenizações e Restituições Trabalhistas","Pessoal e Encargos"
95,"Indenização pela Execução de Trabalhos de Campo","Outras Despesas Correntes"
96,"Ressarcimento de Despesas de Pessoal Requisitado","Pessoal e Encargos"
97,"Aporte para Cobertura do Déficit Atuarial do RPPS","Aporte Atuarial"
98,"Compensação Financeira entre Regimes de Previdência","Pessoal e Encargos"
99,"A Classificar","Outros"
