funcao_subfuncao_codigo,funcao_codigo,funcao_nome,subfuncao_codigo,subfuncao_nome
01.031,01,"Legislativa",031,"Ação Legislativa"
01.032,01,"Legislativa",032,"Controle Externo"
02.061,02,"Judiciária",061,"Ação Judiciária"
02.062,02,"Judiciária",062,"Defesa do Interesse Público no Processo Judiciário"
03.091,03,"Essencial à Justiça",091,"Defesa da Ordem Jurídica"
03.092,03,"Essencial à Justiça",092,"Representação Judicial e Extrajudicial"
04.121,04,"Administração",121,"Planejamento e Orçamento"
04.122,04,"Administração",122,"Administração Geral"
04.123,04,"Administração",123,"Administração Financeira"
04.124,04,"Administração",124,"Controle Interno"
04.125,04,"Administração",125,"Normatização e Fiscalização"
04.126,04,"Administração",126,"Tecnologia da Informação"
04.127,04,"Administração",127,"Ordenamento Territorial"
04.128,04,"Administração",128,"Formação de Recursos Humanos"
04.129,04,"Administração",129,"Administração de Receitas"
04.130,04,"Administração",130,"Administração de Concessões"
04.131,04,"Administração",131,"Comunicação Social"
05.151,05,"Defesa Nacional",151,"Defesa Aérea"
05.152,05,"Defesa Nacional",152,"Defesa Naval"
05.153,05,"Defesa Nacional",153,"Defesa Terrestre"
06.181,06,"Segurança Pública",181,"Policiamento"
06.182,06,"Segurança Pública",182,"Defesa Civil"
06.183,06,"Segurança Pública",183,"Informação e Inteligência"
07.211,07,"Relações Exteriores",211,"Relações Diplomáticas"
07.212,07,"Relações Exteriores",212,"Cooperação Internacional"
08.241,08,"Assistência Social",241,"Assistência ao Idoso"
08.242,08,"Assistência Social",242,"Assistência ao Portador de Deficiência"
08.243,08,"Assistência Social",243,"Assistência à Criança e ao Adolescente"
08.244,08,"Assistência Social",244,"Assistência Comunitária"
09.271,09,"Previdência Social",271,"Previdência Básica"
09.272,09,"Previdência Social",272,"Previdência do Regime Estatutário"
09.273,09,"Previdência Social",273,"Previdência Complementar"
09.274,09,"Previdência Social",274,"Previdência Especial"
10.301,10,"Saúde",301,"Atenção Básica"
10.302,10,"Saúde",302,"Assistência Hospitalar e Ambulatorial"
10.303,10,"Saúde",303,"Suporte Profilático e Terapêutico"
10.304,10,"Saúde",304,"Vigilância Sanitária"
10.305,10,"Saúde",305,"Vigilância Epidemiológica"
10.306,10,"Saúde",306,"Alimentação e Nutrição"
11.331,11,"Trabalho",331,"Proteção e Benefícios ao Trabalhador"
11.332,11,"Trabalho",332,"Relações de Trabalho"
11.333,11,"Trabalho",333,"Empregabilidade"
11.334,11,"Trabalho",334,"Fomento ao Trabalho"
12.361,12,"Educação",361,"Ensino Fundamental"
12.362,12,"Educação",362,"Ensino Médio"
12.363,12,"Educação",363,"Ensino Profissional"
12.364,12,"Educação",364,"Ensino Superior"
12.365,12,"Educação",365,"Educação Infantil"
