natureza_despesa_codigo,categoria_economica_codigo,categoria_economica_nome,gnd_codigo,gnd_nome,modalidade_codigo,modalidade_nome
3120,3,"Despesas Correntes",1,"Pessoal e Encargos Sociais",20,"Transferências à União"
3130,3,"Despesas Correntes",1,"Pessoal e Encargos Sociais",30,"Transferências a Estados e ao DF"
3140,3,"Despesas Correntes",1,"Pessoal e Encargos Sociais",40,"Transferências a Municípios"
3150,3,"Despesas Correntes",1,"Pessoal e Encargos Sociais",50,"Transferências a Entidades Privadas sem Fins Lucrativos"
3170,3,"Despesas Correntes",1,"Pessoal e Encargos Sociais",70,"Transferências a Consórcios Públicos"
3190,3,"Despesas Correntes",1,"Pessoal e Encargos Sociais",90,"Aplicações Diretas"
3191,3,"Despesas Correntes",1,"Pessoal e Encargos Sociais",91,"Aplicação Direta Decorrente de Operação entre Órgãos"
3220,3,"Despesas Correntes",2,"Juros e Encargos da Dívida",20,"Transferências à União"
3230,3,"Despesas Correntes",2,"Juros e Encargos da Dívida",30,"Transferências a Estados e ao DF"
3240,3,"Despesas Correntes",2,"Juros e Encargos da Dívida",40,"Transferências a Municípios"
3250,3,"Despesas Correntes",2,"Juros e Encargos da Dívida",50,"Transferências a Entidades Privadas sem Fins Lucrativos"
3270,3,"Despesas Correntes",2,"Juros e Encargos da Dívida",70,"Transferências a Consórcios Públicos"
3290,3,"Despesas Correntes",2,"Juros e Encargos da Dívida",90,"Aplicações Diretas"
3291,3,"Despesas Correntes",2,"Juros e Encargos da Dívida",91,"Aplicação Direta Decorrente de Operação entre Órgãos"
3320,3,"Despesas Correntes",3,"Outras Despesas Correntes",20,"Transferências à União"
3330,3,"Despesas Correntes",3,"Outras Despesas Correntes",30,"Transferências a Estados e ao DF"
3340,3,"Despesas Correntes",3,"Outras Despesas Correntes",40,"Transferências a Municípios"
3350,3,"Despesas Correntes",3,"Outras Despesas Correntes",50,"Transferências a Entidades Privadas sem Fins Lucrativos"
3370,3,"Despesas Correntes",3,"Outras Despesas Correntes",70,"Transferências a Consórcios Públicos"
3390,3,"Despesas Correntes",3,"Outras Despesas Correntes",90,"Aplicações Diretas"
3391,3,"Despesas Correntes",3,"Outras Despesas Correntes",91,"Aplicação Direta Decorrente de Operação entre Órgãos"
4420,4,"Despesas de Capital",4,"Investimentos",20,"Transferências à União"
4430,4,"Despesas de Capital",4,"Investimentos",30,"Transferências a Estados e ao DF"
4440,4,"Despesas de Capital",4,"Investimentos",40,"Transferências a Municípios"
4450,4,"Despesas de Capital",4,"Investimentos",50,"Transferências a Entidades Privadas sem Fins Lucrativos"
4470,4,"Despesas de Capital",4,"Investimentos",70,"Transferências a Consórcios Públicos"
4490,4,"Despesas de Capital",4,"Investimentos",90,"Aplicações Diretas"
4491,4,"Despesas de Capital",4,"Investimentos",91,"Aplicação Direta Decorrente de Operação entre Órgãos"
4520,4,"Despesas de Capital",5,"Inversões Financeiras",20,"Transferências à União"
4530,4,"Despesas de Capital",5,"Inversões Financeiras",30,"Transferências a Estados e ao DF"
4540,4,"Despesas de Capital",5,"Inversões Financeiras",40,"Transferências a Municípios"
4550,4,"Despesas de Capital",5,"Inversões Financeiras",50,"Transferências a Entidades Privadas sem Fins Lucrativos"
4570,4,"Despesas de Capital",5,"Inversões Financeiras",70,"Transferências a Consórcios Públicos"
4590,4,"Despesas de Capital",5,"Inversões Financeiras",90,"Aplicações Diretas"
4591,4,"Despesas de Capital",5,"Inversões Financeiras",91,"Aplicação Direta Decorrente de Operação entre Órgãos"
4620,4,"Despesas de Capital",6,"Amortização da Dívida",20,"Transferências à União"
4630,4,"Despesas de Capital",6,"Amortização da Dívida",30,"Transferências a Estados e ao DF"
4640,4,"Despesas de Capital",6,"Amortização da Dívida",40,"Transferências a Municípios"
4650,4,"Despesas de Capital",6,"Amortização da Dívida",50,"Transferências a Entidades Privadas sem Fins Lucrativos"
4670,4,"Despesas de Capital",6,"Amortização da Dívida",70,"Transferências a Consórcios Públicos"
4690,4,"Despesas de Capital",6,"Amortização da Dívida",90,"Aplicações Diretas"
4691,4,"Despesas de Capital",6,"Amortização da Dívida",91,"Aplicação Direta Decorrente de Operação entre Órgãos"
